id,round_id,participant_name,participant_gender,participant_age,size,filling_height,object_shape,cup_shape,object_num,human_pouring_angle,gt_pouring_angle
0,1,Participant_1,Others,20,l,full,circle,erlenmeyer,3,101.0,98.6988
1,1,Participant_1,Others,20,m,full,circle,erlenmeyer,13,1.0,77.74724
2,1,Participant_1,Others,20,s,full,circle,erlenmeyer,100,81.0,65.45341
3,1,Participant_1,Others,20,l,half,circle,erlenmeyer,2,101.0,99.71707
4,1,Participant_1,Others,20,m,half,circle,erlenmeyer,8,81.0,90.48244
5,1,Participant_1,Others,20,s,half,circle,erlenmeyer,50,51.0,87.94027
6,1,Participant_1,Others,20,l,full,trapezoid,erlenmeyer,4,25.0,67.07348
7,1,Participant_1,Others,20,m,full,trapezoid,erlenmeyer,11,101.0,88.37641
8,1,Participant_1,Others,20,s,full,trapezoid,erlenmeyer,90,97.0,66.036446
9,1,Participant_1,Others,20,l,half,trapezoid,erlenmeyer,2,101.0,99.66083
10,1,Participant_1,Others,20,m,half,trapezoid,erlenmeyer,7,111.0,99.19126
11,1,Participant_1,Others,20,s,half,trapezoid,erlenmeyer,50,111.0,85.99208
12,1,Participant_1,Others,20,l,full,triangle,erlenmeyer,4,61.0,98.82773
13,1,Participant_1,Others,20,m,full,triangle,erlenmeyer,18,16.0,52.65421
14,1,Participant_1,Others,20,s,full,triangle,erlenmeyer,135,30.0,68.18533
15,1,Participant_1,Others,20,l,half,triangle,erlenmeyer,2,101.0,99.106735
16,1,Participant_1,Others,20,m,half,triangle,erlenmeyer,11,101.0,93.2114
17,1,Participant_1,Others,20,s,half,triangle,erlenmeyer,80,60.0,80.26022
18,1,Participant_1,Others,20,l,full,circle,ierlenmeyer,3,20.0,22.824316
19,1,Participant_1,Others,20,m,full,circle,ierlenmeyer,13,61.0,63.771084
20,1,Participant_1,Others,20,s,full,circle,ierlenmeyer,104,42.0,39.472248
21,1,Participant_1,Others,20,l,half,circle,ierlenmeyer,2,46.0,83.266045
22,1,Participant_1,Others,20,m,half,circle,ierlenmeyer,8,81.0,74.397316
23,1,Participant_1,Others,20,s,half,circle,ierlenmeyer,50,81.0,70.130615
24,1,Participant_1,Others,20,l,full,trapezoid,ierlenmeyer,3,21.0,47.07449
25,1,Participant_1,Others,20,m,full,trapezoid,ierlenmeyer,11,81.0,65.55301
26,1,Participant_1,Others,20,s,full,trapezoid,ierlenmeyer,98,81.0,38.639767
27,1,Participant_1,Others,20,l,half,trapezoid,ierlenmeyer,2,81.0,83.12725
28,1,Participant_1,Others,20,m,half,trapezoid,ierlenmeyer,6,95.0,76.40136
29,1,Participant_1,Others,20,s,half,trapezoid,ierlenmeyer,50,81.0,72.54138
30,1,Participant_1,Others,20,l,full,triangle,ierlenmeyer,4,35.0,23.295296
31,1,Participant_1,Others,20,m,full,triangle,ierlenmeyer,18,81.0,66.84972
32,1,Participant_1,Others,20,s,full,triangle,ierlenmeyer,135,11.0,31.886976
33,1,Participant_1,Others,20,l,half,triangle,ierlenmeyer,2,41.0,82.84886
34,1,Participant_1,Others,20,m,half,triangle,ierlenmeyer,11,81.0,79.41315
35,1,Participant_1,Others,20,s,half,triangle,ierlenmeyer,80,81.0,70.989685
36,1,Participant_1,Others,20,l,full,circle,regular,3,81.0,18.736313
37,1,Participant_1,Others,20,m,full,circle,regular,13,91.0,74.475105
38,1,Participant_1,Others,20,s,full,circle,regular,105,42.0,47.81898
39,1,Participant_1,Others,20,l,half,circle,regular,2,91.0,91.401184
40,1,Participant_1,Others,20,m,half,circle,regular,8,81.0,84.17363
41,1,Participant_1,Others,20,s,half,circle,regular,50,91.0,81.135994
42,1,Participant_1,Others,20,l,full,trapezoid,regular,3,50.0,46.063736
43,1,Participant_1,Others,20,m,full,trapezoid,regular,11,94.0,74.22863
44,1,Participant_1,Others,20,s,full,trapezoid,regular,96,91.0,56.77298
45,1,Participant_1,Others,20,l,half,trapezoid,regular,2,91.0,91.222275
46,1,Participant_1,Others,20,m,half,trapezoid,regular,7,91.0,91.054
47,1,Participant_1,Others,20,s,half,trapezoid,regular,50,4.0,79.762024
48,1,Participant_1,Others,20,l,full,triangle,regular,4,91.0,36.0979
49,1,Participant_1,Others,20,m,full,triangle,regular,18,31.0,57.260498
50,1,Participant_1,Others,20,s,full,triangle,regular,140,91.0,49.449432
51,1,Participant_1,Others,20,l,half,triangle,regular,2,91.0,91.19302
52,1,Participant_1,Others,20,m,half,triangle,regular,11,60.0,90.6963
53,1,Participant_1,Others,20,s,half,triangle,regular,80,40.0,70.786545
54,1,Participant_2,Male,31,l,full,circle,erlenmeyer,3,100.0,98.6988
55,1,Participant_2,Male,31,m,full,circle,erlenmeyer,13,45.0,77.74724
56,1,Participant_2,Male,31,s,full,circle,erlenmeyer,100,80.0,65.45341
57,1,Participant_2,Male,31,l,half,circle,erlenmeyer,2,100.0,99.71707
58,1,Participant_2,Male,31,m,half,circle,erlenmeyer,8,30.0,90.48244
59,1,Participant_2,Male,31,s,half,circle,erlenmeyer,50,100.0,87.94027
60,1,Participant_2,Male,31,l,full,trapezoid,erlenmeyer,4,100.0,67.07348
61,1,Participant_2,Male,31,m,full,trapezoid,erlenmeyer,11,60.0,88.37641
62,1,Participant_2,Male,31,s,full,trapezoid,erlenmeyer,90,100.0,66.036446
63,1,Participant_2,Male,31,l,half,trapezoid,erlenmeyer,2,100.0,99.66083
64,1,Participant_2,Male,31,m,half,trapezoid,erlenmeyer,7,100.0,99.19126
65,1,Participant_2,Male,31,s,half,trapezoid,erlenmeyer,50,100.0,85.99208
66,1,Participant_2,Male,31,l,full,triangle,erlenmeyer,4,100.0,98.82773
67,1,Participant_2,Male,31,m,full,triangle,erlenmeyer,18,45.0,52.65421
68,1,Participant_2,Male,31,s,full,triangle,erlenmeyer,135,30.0,68.18533
69,1,Participant_2,Male,31,l,half,triangle,erlenmeyer,2,135.0,99.106735
70,1,Participant_2,Male,31,m,half,triangle,erlenmeyer,11,50.0,93.2114
71,1,Participant_2,Male,31,s,half,triangle,erlenmeyer,80,100.0,80.26022
72,1,Participant_2,Male,31,l,full,circle,ierlenmeyer,3,30.0,22.824316
73,1,Participant_2,Male,31,m,full,circle,ierlenmeyer,13,100.0,63.771084
74,1,Participant_2,Male,31,s,full,circle,ierlenmeyer,104,30.0,39.472248
75,1,Participant_2,Male,31,l,half,circle,ierlenmeyer,2,10.0,83.266045
76,1,Participant_2,Male,31,m,half,circle,ierlenmeyer,8,80.0,74.397316
77,1,Participant_2,Male,31,s,half,circle,ierlenmeyer,50,45.0,70.130615
78,1,Participant_2,Male,31,l,full,trapezoid,ierlenmeyer,3,10.0,47.07449
79,1,Participant_2,Male,31,m,full,trapezoid,ierlenmeyer,11,15.0,65.55301
80,1,Participant_2,Male,31,s,full,trapezoid,ierlenmeyer,98,100.0,38.639767
81,1,Participant_2,Male,31,l,half,trapezoid,ierlenmeyer,2,30.0,83.12725
82,1,Participant_2,Male,31,m,half,trapezoid,ierlenmeyer,6,100.0,76.40136
83,1,Participant_2,Male,31,s,half,trapezoid,ierlenmeyer,50,80.0,72.54138
84,1,Participant_2,Male,31,l,full,triangle,ierlenmeyer,4,45.0,23.295296
85,1,Participant_2,Male,31,m,full,triangle,ierlenmeyer,18,100.0,66.84972
86,1,Participant_2,Male,31,s,full,triangle,ierlenmeyer,135,30.0,31.886976
87,1,Participant_2,Male,31,l,half,triangle,ierlenmeyer,2,100.0,82.84886
88,1,Participant_2,Male,31,m,half,triangle,ierlenmeyer,11,75.0,79.41315
89,1,Participant_2,Male,31,s,half,triangle,ierlenmeyer,80,90.0,70.989685
90,1,Participant_2,Male,31,l,full,circle,regular,3,100.0,18.736313
91,1,Participant_2,Male,31,m,full,circle,regular,13,45.0,74.475105
92,1,Participant_2,Male,31,s,full,circle,regular,105,45.0,47.81898
93,1,Participant_2,Male,31,l,half,circle,regular,2,90.0,91.401184
94,1,Participant_2,Male,31,m,half,circle,regular,8,80.0,84.17363
95,1,Participant_2,Male,31,s,half,circle,regular,50,30.0,81.135994
96,1,Participant_2,Male,31,l,full,trapezoid,regular,3,45.0,46.063736
97,1,Participant_2,Male,31,m,full,trapezoid,regular,11,10.0,74.22863
98,1,Participant_2,Male,31,s,full,trapezoid,regular,96,45.0,56.77298
99,1,Participant_2,Male,31,l,half,trapezoid,regular,2,100.0,91.222275
100,1,Participant_2,Male,31,m,half,trapezoid,regular,7,100.0,91.054
101,1,Participant_2,Male,31,s,half,trapezoid,regular,50,10.0,79.762024
102,1,Participant_2,Male,31,l,full,triangle,regular,4,45.0,36.0979
103,1,Participant_2,Male,31,m,full,triangle,regular,18,60.0,57.260498
104,1,Participant_2,Male,31,s,full,triangle,regular,140,90.0,49.449432
105,1,Participant_2,Male,31,l,half,triangle,regular,2,100.0,91.19302
106,1,Participant_2,Male,31,m,half,triangle,regular,11,60.0,90.6963
107,1,Participant_2,Male,31,s,half,triangle,regular,80,45.0,70.786545
